"Camp","ID","medians"
"Concerned","Req testing",0
"Concerned","Req testing",0
"Concerned","Req testing",0
"Concerned","Req testing",0
"Concerned","Req testing",0
"Concerned","Req testing",0
"Concerned","Req testing",0
"Concerned","Req testing",0
"Concerned","Req testing",0
"Concerned","Req testing",0
"Concerned","Req testing",0
"Concerned","Req testing",0.000167454180681097
"Concerned","Req testing",0
"Concerned","Req testing",0.000167454180681097
"Concerned","Req testing",0
"Concerned","Req testing",0
"Concerned","Req testing",0
"Concerned","Req testing",0.000167454180681097
"Concerned","Req testing",0
"Concerned","Req testing",0
"Concerned","Req testing",0
"Concerned","Req testing",0
"Concerned","Req testing",0
"Concerned","Req testing",0
"Concerned","Req testing",0
"Concerned","Req testing",0
"Concerned","Req testing",0
"Concerned","Req testing",0
"Concerned","Req testing",0.000167454180681097
"Concerned","Req testing",0
"Concerned","Req testing",0
"Concerned","Req testing",0
"Concerned","Req testing",0
"Concerned","Req testing",0
"Concerned","Req testing",0
"Concerned","Req testing",0.000167454180681097
"Concerned","Req testing",0
"Concerned","Req testing",0
"Concerned","Req testing",0
"Concerned","Req testing",0
"Concerned","Req testing",0
"Concerned","Req testing",0
"Concerned","Req testing",0
"Concerned","Req testing",0
"Concerned","Req testing",0
"Concerned","Req testing",0
"Concerned","Req testing",0.000167454180681097
"Concerned","Req testing",0
"Concerned","Req testing",0
"Concerned","Req testing",0.000167454180681097
"Concerned","Req testing",0.000167454180681097
"Concerned","Req testing",0
"Concerned","Req testing",0
"Concerned","Req testing",0
"Concerned","Req testing",0
"Concerned","Req testing",0
"Concerned","Req testing",0.000167454180681097
"Concerned","Req testing",0
"Concerned","Req testing",0
"Concerned","Req testing",0
"Concerned","Req testing",0
"Concerned","Req testing",0
"Concerned","Req testing",0
"Concerned","Req testing",0
"Concerned","Req testing",0
"Concerned","Req testing",0
"Concerned","Req testing",0
"Concerned","Req testing",0
"Concerned","Req testing",0
"Concerned","Req testing",0.000167454180681097
"Concerned","Req testing",0
